Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,00707"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,00596"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06077"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,00281"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,00417"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06077"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,00721"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,00994"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06077"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,14442"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,12185"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"1,17194"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,05747"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,0853"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"1,17194"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,14737"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,20309"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"1,17194"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,09239"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,07796"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,18402"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,03677"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,05457"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,18402"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,09428"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,12993"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,18402"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,07866"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,06637"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,01475"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,0313"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,04646"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,01475"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,08026"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,11062"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,01475"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0002"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00017"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01017"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00008"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00012"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01017"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00022"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00029"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,01017"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00132"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00116"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,0293"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00052"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00081"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,0293"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00146"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00193"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,0293"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0063"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00553"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,07178"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00252"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00387"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,07178"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00696"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00923"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,07178"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01515"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01331"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02268"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00606"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00931"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02268"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01674"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,02218"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02268"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0062"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00545"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00093"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00248"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00381"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00093"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00685"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00908"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,00093"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0005"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00044"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,0002"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00031"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00056"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,00074"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,02597"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01237"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01087"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,00495"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,0076"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Camion,"0,01366"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Camion,"0,01811"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Camion,"0,24962"
