Tipo contaminante,Comuna,Ciudad,Tipo de emision,Año,Tipo vehículo,emicom_cantprom_anual
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,77028"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"252,24929"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,02515"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,17198"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,00663"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,00066"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"2,98946"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,00707"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,00596"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06077"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,00281"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,00417"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06077"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,00721"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,00994"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06077"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,00315"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"16,28863"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"5644,68947"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,46599"
Compuestos Orgánicos Volátiles,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"3,0728"
Oxido Nitroso,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,13539"
Nitrógeno amoniacal (o NH3),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,01353"
NOx,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"60,08118"
MP10,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,14442"
MP10,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,12185"
MP10,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"1,17194"
"MP2,5",Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,05747"
"MP2,5",Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,0853"
"MP2,5",Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"1,17194"
Material particulado,Alto Hospicio,Iquique,Desgaste de frenos,2020,Bus,"0,14737"
Material particulado,Alto Hospicio,Iquique,Desgaste de neumáticos,2020,Bus,"0,20309"
Material particulado,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"1,17194"
Dióxido de azufre (SO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,06448"
Monóxido de carbono,Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"10,92252"
Dióxido de carbono (CO2),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"2263,51451"
Metano (CH4),Alto Hospicio,Iquique,Tubo de Escape Vehiculos,2020,Bus,"0,49028"
